,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
803,6689009171183963398,2019-05-09 12:51:51,1106.3569650926,8,Cradles,88900000,3000000,170600,628,2700000,207,166800.0,9053.0,497.0
809,6687226768740322565,2019-05-04 17:35:13,741.7508154745,14,Satisfaction,19000000,559700,15900,34,72800,45,72800.0,15900.0,821.0
816,6686412720109096193,2019-05-03 09:01:05,743.0640991088,29,FANCY,1200000,78100,7927,181,116700,204,17600.0,1325.0,861.0
852,6694079984601926918,2019-05-23 04:49:12,1101.6014298611,14,,2200000,125800,669,1,4132,3,57900.0,6318.0,140.0
858,6693763778133101830,2019-05-22 08:22:09,795.9905608333,14,,3100000,221100,233,0,4510,0,590.0,46.0,841.0
865,6694798333329804549,2019-05-25 03:16:45,721.3455165394,14,,1200000,78200,2482,16,28600,83,28600.0,2482.0,699.0
892,6704302877722021126,2019-06-19 17:59:14,695.7230414236,14,The Git Up,229000000,5800000,290000,6899,1800000,1704,619500.0,76050.0,121.0
961,6704188433528524038,2019-06-19 10:35:08,767.0431789005,12,,571500,92600,4516,12,84500,37,19600.0,1644.0,542.0
994,6710460437697154310,2019-07-06 08:13:43,679.1048776273,14,,15000000,749300,8705,84,88700,93,95550.0,7458.0,228.0
1045,6714657269889371397,2019-07-17 15:39:34,667.8032779398,15,,7700000,331400,2032,18,24100,48,11600.0,858.0,282.0
1066,6706104180823559430,2019-06-24 14:29:13,1085.6226808102,14,,1800000,127400,1405,7,26900,19,6295.0,499.0,619.0
1106,6719922932094717190,2019-07-31 20:13:05,653.6128631829,13,,139200000,5100000,117500,2420,594900,1092,148900.0,18300.0,356.0
1147,6758465902150192385,2019-11-12 16:59:35,603.6430820139,11,Ride It,14100000,856800,699,2,11100,5,256400.0,25900.0,252.0
1174,6717510361672584450,2019-07-25 08:11:05,1034.3680933565,14,O Saki Saki,23900,2042,9476,75,108200,117,1481.5,183.5,451.0
1213,6737122009429429506,2019-09-16 04:34:19,971.8521692708,15,Pahari Bihu,979500,29800,362,2,4049,2,146400.0,12500.0,1262.0
1260,6822295191580445953,2020-05-02 17:09:46,741.8902233565,15,Dance Monkey,16100,3658,171,2,2379,4,253800.0,15900.0,923.0
1269,6732897259840703750,2019-09-04 19:20:06,572.4819765162,11,"Spooky, Scary Skeletons",84800000,4000000,498400,19700,5600000,1726,8900000.0,1300000.0,1210.0
1297,6794770551136128257,2020-02-18 13:00:04,451.943774456,13,,272600000,10500000,12500,48,222200,94,16500.0,2061.0,632.0
1315,6737954400603557122,2019-09-18 10:24:23,650.076553125,12,Big Fun,1313,53,4,0,11,0,28555.5,4993.5,1037.0
1340,6773326408174341120,2019-12-22 18:05:49,292.8924142014,13,,991500000,29400000,756500,4043,6200000,5080,136200.0,7053.0,56.0
1362,6783851824446180610,2020-01-20 02:49:54,553.5509025579,14,,1500000,173200,650,4,4310,9,6260.0,650.0,282.01
1442,6744149965225856258,2019-10-05 03:06:21,633.3807429398,9,Absolutely Anything (feat. Or3o),1313,53,4,0,8,0,637.0,93.0,769.0
1450,6741507952173239557,2019-09-28 00:14:00,595.4429738889,15,Chicken Noodle Soup（feat. Becky G）,18700,1841,8923,98,86100,46,158000.0,19900.0,898.0
1472,6742217785918737669,2019-09-29 22:08:31,929.9982050231,8,,9744,277,14,0,95,0,17200.0,390.0,771.0
1507,6810250416408775941,2020-03-31 06:09:50,410.1914469213,13,,403300,43800,173,1,4586,8,2322.5,289.0,103.01
1520,6751148335748451589,2019-10-23 23:43:41,961.5901157292,10,,12800000,510100,249400,6012,1500000,802,449000.0,63000.0,1305.0
1552,6765020274829053185,2019-11-30 08:53:47,869.9337865162,21,,9700000,1200000,244200,23600,4100000,824,156000.0,9239.0,27.0
2027,6836619314368367874,2020-06-10 07:34:38,125.3261653935,15,Teach Me How To Dougie,1100000,147400,86900,1195,1400000,323,83250.0,5216.5,299.0
2043,6767890676953861382,2019-12-08 02:32:26,597.2228637616,15,,1500000,51000,121000,575,2400000,478,599150.0,50150.0,1022.0
